అంతర్దశ,ప్రారంభం,ముగింపు
శని,09-12-2088,13-12-2091
బుధుడు,13-12-2091,22-08-2094
కేతు,22-08-2094,01-10-2095
శుక్రుడు,01-10-2095,30-11-2098
సూర్యుడు,30-11-2098,12-11-2099
చంద్రుడు,12-11-2099,14-06-2101
కుజుడు,14-06-2101,23-07-2102
రాహు,23-07-2102,29-05-2105
గురు,29-05-2105,11-12-2107
