అంతర్దశ,ప్రారంభం,ముగింపు
సూర్యుడు,10-12-2031,28-03-2032
చంద్రుడు,28-03-2032,27-09-2032
కుజుడు,27-09-2032,02-02-2033
రాహు,02-02-2033,27-12-2033
గురు,27-12-2033,16-10-2034
శని,16-10-2034,28-09-2035
బుధుడు,28-09-2035,03-08-2036
కేతు,03-08-2036,09-12-2036
శుక్రుడు,09-12-2036,09-12-2037
