అంతర్దశ,ప్రారంభం,ముగింపు
రాహు,24-09-2004,07-06-2007
గురు,07-06-2007,31-10-2009
శని,31-10-2009,06-09-2012
బుధుడు,06-09-2012,26-03-2015
కేతు,26-03-2015,12-04-2016
శుక్రుడు,12-04-2016,13-04-2019
సూర్యుడు,13-04-2019,07-03-2020
చంద్రుడు,07-03-2020,06-09-2021
కుజుడు,06-09-2021,24-09-2022
