అంతర్దశ,ప్రారంభం,ముగింపు
చంద్రుడు,09-12-2037,10-10-2038
కుజుడు,10-10-2038,11-05-2039
రాహు,11-05-2039,09-11-2040
గురు,09-11-2040,11-03-2042
శని,11-03-2042,10-10-2043
బుధుడు,10-10-2043,10-03-2045
కేతు,10-03-2045,09-10-2045
శుక్రుడు,09-10-2045,10-06-2047
సూర్యుడు,10-06-2047,10-12-2047
