అంతర్దశ,ప్రారంభం,ముగింపు
కుజుడు,24-09-1997,20-02-1998
రాహు,20-02-1998,11-03-1999
గురు,11-03-1999,15-02-2000
శని,15-02-2000,25-03-2001
బుధుడు,25-03-2001,23-03-2002
కేతు,23-03-2002,19-08-2002
శుక్రుడు,19-08-2002,19-10-2003
సూర్యుడు,19-10-2003,24-02-2004
చంద్రుడు,24-02-2004,24-09-2004
