అంతర్దశ,ప్రారంభం,ముగింపు
సూర్యుడు,24-09-1981,12-01-1982
చంద్రుడు,12-01-1982,13-07-1982
కుజుడు,13-07-1982,18-11-1982
రాహు,18-11-1982,13-10-1983
గురు,13-10-1983,31-07-1984
శని,31-07-1984,13-07-1985
బుధుడు,13-07-1985,19-05-1986
కేతు,19-05-1986,24-09-1986
శుక్రుడు,24-09-1986,25-09-1987
