అంతర్దశ,ప్రారంభం,ముగింపు
గురు,24-09-2022,11-11-2024
శని,11-11-2024,26-05-2027
బుధుడు,26-05-2027,31-08-2029
కేతు,31-08-2029,07-08-2030
శుక్రుడు,07-08-2030,07-04-2033
సూర్యుడు,07-04-2033,24-01-2034
చంద్రుడు,24-01-2034,26-05-2035
కుజుడు,26-05-2035,01-05-2036
రాహు,01-05-2036,24-09-2038
