అంతర్దశ,ప్రారంభం,ముగింపు
బుధుడు,24-09-2057,21-02-2060
కేతు,21-02-2060,17-02-2061
శుక్రుడు,17-02-2061,19-12-2063
సూర్యుడు,19-12-2063,24-10-2064
చంద్రుడు,24-10-2064,26-03-2066
కుజుడు,26-03-2066,23-03-2067
రాహు,23-03-2067,09-10-2069
గురు,09-10-2069,15-01-2072
శని,15-01-2072,24-09-2074
