అంతర్దశ,ప్రారంభం,ముగింపు
చంద్రుడు,25-09-1987,25-07-1988
కుజుడు,25-07-1988,23-02-1989
రాహు,23-02-1989,25-08-1990
గురు,25-08-1990,25-12-1991
శని,25-12-1991,25-07-1993
బుధుడు,25-07-1993,25-12-1994
కేతు,25-12-1994,26-07-1995
శుక్రుడు,26-07-1995,25-03-1997
సూర్యుడు,25-03-1997,24-09-1997
