అంతర్దశ,ప్రారంభం,ముగింపు
బుధుడు,11-12-2107,08-05-2110
కేతు,08-05-2110,06-05-2111
శుక్రుడు,06-05-2111,05-03-2114
సూర్యుడు,05-03-2114,10-01-2115
చంద్రుడు,10-01-2115,10-06-2116
కుజుడు,10-06-2116,08-06-2117
రాహు,08-06-2117,26-12-2119
గురు,26-12-2119,02-04-2122
శని,02-04-2122,10-12-2124
