అంతర్దశ,ప్రారంభం,ముగింపు
శని,24-09-2038,27-09-2041
బుధుడు,27-09-2041,06-06-2044
కేతు,06-06-2044,16-07-2045
శుక్రుడు,16-07-2045,15-09-2048
సూర్యుడు,15-09-2048,28-08-2049
చంద్రుడు,28-08-2049,29-03-2051
కుజుడు,29-03-2051,07-05-2052
రాహు,07-05-2052,14-03-2055
గురు,14-03-2055,24-09-2057
