అంతర్దశ,ప్రారంభం,ముగింపు
శుక్రుడు,10-12-2011,10-04-2015
సూర్యుడు,10-04-2015,09-04-2016
చంద్రుడు,09-04-2016,09-12-2017
కుజుడు,09-12-2017,08-02-2019
రాహు,08-02-2019,08-02-2022
గురు,08-02-2022,09-10-2024
శని,09-10-2024,10-12-2027
బుధుడు,10-12-2027,10-10-2030
కేతు,10-10-2030,10-12-2031
