అంతర్దశ,ప్రారంభం,ముగింపు
గురు,09-12-2072,27-01-2075
శని,27-01-2075,09-08-2077
బుధుడు,09-08-2077,15-11-2079
కేతు,15-11-2079,21-10-2080
శుక్రుడు,21-10-2080,22-06-2083
సూర్యుడు,22-06-2083,09-04-2084
చంద్రుడు,09-04-2084,09-08-2085
కుజుడు,09-08-2085,16-07-2086
రాహు,16-07-2086,09-12-2088
