అంతర్దశ,ప్రారంభం,ముగింపు
రాహు,09-12-2054,22-08-2057
గురు,22-08-2057,15-01-2060
శని,15-01-2060,21-11-2062
బుధుడు,21-11-2062,10-06-2065
కేతు,10-06-2065,28-06-2066
శుక్రుడు,28-06-2066,28-06-2069
సూర్యుడు,28-06-2069,23-05-2070
చంద్రుడు,23-05-2070,21-11-2071
కుజుడు,21-11-2071,09-12-2072
