అంతర్దశ,ప్రారంభం,ముగింపు
కుజుడు,10-12-2047,07-05-2048
రాహు,07-05-2048,25-05-2049
గురు,25-05-2049,01-05-2050
శని,01-05-2050,10-06-2051
బుధుడు,10-06-2051,06-06-2052
కేతు,06-06-2052,02-11-2052
శుక్రుడు,02-11-2052,03-01-2054
సూర్యుడు,03-01-2054,10-05-2054
చంద్రుడు,10-05-2054,09-12-2054
