అంతర్దశ,ప్రారంభం,ముగింపు
కేతు,09-12-2004,07-05-2005
శుక్రుడు,07-05-2005,07-07-2006
సూర్యుడు,07-07-2006,12-11-2006
చంద్రుడు,12-11-2006,13-06-2007
కుజుడు,13-06-2007,09-11-2007
రాహు,09-11-2007,27-11-2008
గురు,27-11-2008,03-11-2009
శని,03-11-2009,13-12-2010
బుధుడు,13-12-2010,10-12-2011
