అంతర్దశ,ప్రారంభం,ముగింపు
కేతు,24-09-2074,20-02-2075
శుక్రుడు,20-02-2075,22-04-2076
సూర్యుడు,22-04-2076,27-08-2076
చంద్రుడు,27-08-2076,28-03-2077
కుజుడు,28-03-2077,25-08-2077
రాహు,25-08-2077,12-09-2078
గురు,12-09-2078,19-08-2079
శని,19-08-2079,27-09-2080
బుధుడు,27-09-2080,24-09-2081
