గ్రహం,మేషం,వృషభం,మిథునం,కర్కాటకం,సింహం,కన్యా,తులా,వృశ్చికం,ధనుస్సు,మకరం,కుంభం,మీనం
సూర్యుడు,4,4,3,3,5,4,5,4,2,3,6,5
చంద్రుడు,6,3,4,4,4,4,5,4,5,4,2,4
బుధుడు,4,7,5,3,3,4,5,4,4,5,5,5
శుక్రుడు,4,6,6,2,2,5,4,4,6,3,3,7
కుజుడు,4,5,4,4,2,2,2,4,2,2,4,4
గురు,4,5,4,4,5,4,7,4,5,5,5,4
శని,3,5,3,3,4,3,3,4,3,2,5,4
సర్వ,29,35,29,23,25,26,31,28,27,24,30,33
